ResSitesID,Location,Station.Number,Date,Survey.Month,DayNight,BoaterID,NetterID,Tide.Stage,Time.Start,Time.Stop,Temp,Secchi,Conductivity,Turbidity,Channel.Type,Transport,Sample.Area,Start.Flow,Stop.Flow,Channel.Flow,Depth,Number.Snag,Light,Wind.Speed,Veg.Type,Bank.Type,RIPAR.BUSH,RIPAR.TREE,RIPAR.CANE,Volts,Amps,X..of.Range,Pulse.Width,Electrical.Config,Shock.Time,Shock.Distance,Difficulty,Total.Fish.Caught,Total.Species,Comments
46,3070,307011,1997-04-21,4,day,12,8,ebb,1999-12-30,1999-12-30,17.7777786254883,73,217,12,1,,1,1.45,NA,NA,4,10,NA,15,1,1,0,0,0,672,6,60,5,1,1074,1000,4,25,8,
47,3115,311531,1997-04-22,4,day,8,12,ebb,1999-12-30,1999-12-30,17.7777786254883,100,248,5.1,3,,1,0.35,NA,NA,5,5,NA,20,3,1,0,0,0,840,6,60,5,1,1272,1000,3,91,7,
48,5086,508611,1997-04-23,4,day,12,8,ebb,1999-12-30,1999-12-30,18.8888893127441,38,347,23,3,,1,0.96,NA,NA,2,1,NA,20,1,1,0,0,0,504,6,60,5,1,1152,1000,2,118,10,
49,4256,425631,1997-04-23,4,day,12,5,ebb,1999-12-30,1999-12-30,19.4444446563721,74,453,6.6,2,,1,1.04,NA,NA,15,2,NA,0,3,1,0,0,0,504,5,60,5,1,931,200,2,151,8,
50,4256,425661,1997-04-23,4,day,5,12,low,1999-12-30,1999-12-30,19.4444446563721,74,453,6.6,2,,1,1.04,NA,NA,15,3,NA,5,6,1,0,0,0,504,6,60,5,1,951,800,2,142,7,
51,1222,122251,1997-04-24,4,day,12,8,ebb,1999-12-30,1999-12-30,13.3333330154419,47,202,21,4,,1,0.1,NA,NA,10,3,NA,0,5,1,0,4,0,504,6,60,6,1,1420,500,2,448,13,
52,5446,544662,1997-04-29,4,day,8,12,ebb,1999-12-30,1999-12-30,17.7777786254883,63,623,11,2,,1,0.3,NA,NA,10,2,NA,26,6,2,1,3,0,504,6,60,5,1,1600,1000,1,163,8,
53,5226,522631,1997-04-29,4,day,12,8,ebb,1999-12-30,1999-12-30,19.4444446563721,73,449,11.5,3,,1,0.55,NA,NA,10,3,NA,11,3,1,0,0,0,504,6,60,5,1,1339,1000,1,138,11,
54,5397,539711,1997-04-30,4,day,5,12,flood,1999-12-30,1999-12-30,16.1111106872559,61,342,18,2,,1,0.33,NA,NA,15,2,NA,0,1,1,0,0,0,672,6,60,5,1,1167,1000,2,57,10,
55,5397,539711,1997-06-02,6,day,12,8,ebb,1999-12-30,1999-12-30,21.6666660308838,39,548,18,2,,1,1.24,NA,NA,2,0,NA,10,1,1,0,0,0,504,6,60,5,1,2086,1000,2,203,11,
56,1029,102962,1997-06-03,6,day,12,8,ebb,1999-12-30,1999-12-30,23.3333339691162,49,160,21,4,,4,0.05,NA,NA,4,50,NA,15,6,2,1,3,0,504,6,60,6,1,1562,1000,2,193,17,
57,4222,422231,1997-06-04,6,day,8,12,ebb,1999-12-30,1999-12-30,21.6666660308838,38,543,24,6,,1,0.05,NA,NA,4,2,NA,10,3,1,0,0,0,504,6,60,5,1,1689,1000,1,229,9,
58,2237,223711,1997-06-05,6,day,12,8,ebb,1999-12-30,1999-12-30,21.6666660308838,72,135,4.5,1,,1,1.4,NA,NA,2,7,NA,10,1,1,0,0,0,672,6,60,6,1,1283,1000,3,162,16,
59,2037,203711,1997-06-05,6,day,12,8,ebb,1999-12-30,1999-12-30,21.1111106872559,78,137,2.4,1,,1,1.38,NA,NA,2,3,NA,10,1,1,0,0,0,672,6,60,6,1,1085,1000,3,122,12,
60,3115,311531,1997-06-09,6,day,12,8,ebb,1999-12-30,1999-12-30,22.7777786254883,141,281,5.7,3,,1,0.28,NA,NA,3,3,NA,15,3,1,0,0,0,672,6,60,5,1,1275,1000,3,75,6,
61,5086,508611,1997-06-10,6,day,8,5,flood,1999-12-30,1999-12-30,23.8888893127441,54,334,11,3,,1,0.02,NA,NA,3,2,NA,5,1,1,0,0,0,504,6,60,5,1,1976,1000,1,110,6,
62,4256,425661,1997-06-10,6,day,12,8,ebb,1999-12-30,1999-12-30,23.8888893127441,94,246,9.1,2,,1,0.14,NA,NA,4,2,NA,5,6,1,0,0,0,672,6,60,5,1,1309,750,2,121,8,
63,4256,425631,1997-06-10,6,day,5,12,ebb,1999-12-30,1999-12-30,23.8888893127441,94,246,9.1,2,,1,0.14,NA,NA,3,2,NA,12,3,1,0,0,0,168,5,60,6,1,450,250,2,36,6,
64,1099,109911,1997-06-11,6,day,8,12,flood,1999-12-30,1999-12-30,22.2222213745117,47,175,17,4,,1,0.02,NA,NA,4,24,NA,20,1,1,0,0,0,840,6,60,5,1,1597,1000,3,127,10,
65,5226,522631,1997-06-12,6,day,12,8,low,1999-12-30,1999-12-30,22.2222213745117,57,333,13,3,,1,1.07,NA,NA,2,11,NA,25,3,1,0,0,0,504,6,60,5,1,1040,1000,3,106,6,
66,3029,302941,1997-06-16,6,day,8,12,flood,1999-12-30,1999-12-30,21.1111106872559,49,152,18,1,,1,0.16,NA,NA,2,4,NA,20,4,1,0,0,0,504,6,60,5,1,1687,1000,2,189,13,
67,5446,544662,1997-06-17,6,day,12,8,ebb,1999-12-30,1999-12-30,23.8888893127441,34,706,28,2,,1,0.31,NA,NA,2,10,NA,10,6,2,2,2,0,504,5,60,4,1,1353,1000,2,49,10,
68,1186,118611,1997-06-18,6,day,12,5,ebb,1999-12-30,1999-12-30,23.3333339691162,118,174,6.5,3,,1,0.31,NA,NA,3,3,NA,7,1,1,0,0,0,504,6,60,5,1,1487,800,3,128,6,
69,1186,118661,1997-06-18,6,day,12,8,ebb,1999-12-30,1999-12-30,23.3333339691162,118,174,6.5,3,,1,0.31,NA,NA,3,3,NA,7,6,1,0,0,0,504,5,60,5,1,680,200,2,90,6,
70,4110,411061,1997-06-18,6,day,5,12,flood,1999-12-30,1999-12-30,24.4444446563721,105,256,5.7,3,,1,0.03,NA,NA,3,5,NA,5,6,1,0,0,0,336,5,60,4,1,1403,850,2,219,14,
71,4110,411031,1997-06-18,6,day,8,5,flood,1999-12-30,1999-12-30,24.4444446563721,105,256,5.7,3,,1,0.03,NA,NA,3,4,NA,10,3,1,0,0,0,336,6,60,5,1,696,150,2,74,7,
72,1091,109144,1997-06-19,6,day,12,5,ebb,1999-12-30,1999-12-30,22.7777786254883,58,116,12,2,,4,0.56,NA,NA,1,5,NA,2,4,4,0,0,0,504,5,60,5,1,312,100,3,12,4,
73,1091,109114,1997-06-19,6,day,12,5,ebb,1999-12-30,1999-12-30,22.7777786254883,58,116,12,2,,3,0.56,NA,NA,2,12,NA,4,1,4,0,0,0,504,5,60,5,1,836,500,3,75,10,
74,1091,109161,1997-06-19,6,day,12,5,ebb,1999-12-30,1999-12-30,22.7777786254883,58,116,12,2,,1,0.56,NA,NA,3,4,NA,5,6,1,0,1,0,504,5,60,5,1,634,400,4,45,8,
75,1222,122251,1997-06-23,6,day,12,8,high,1999-12-30,1999-12-30,22.7777786254883,46,239,18,4,,1,0.01,NA,NA,5,0,NA,5,5,1,0,4,0,504,6,60,5,1,1055,800,2,80,11,
76,1222,122241,1997-06-23,6,day,12,8,ebb,1999-12-30,1999-12-30,22.7777786254883,46,239,18,4,,1,1.25,NA,NA,2,0,NA,15,4,1,0,0,0,504,6,60,5,1,501,100,1,58,10,
77,1222,122211,1997-06-23,6,day,12,8,ebb,1999-12-30,1999-12-30,22.7777786254883,46,239,18,4,,1,0,NA,NA,2,0,NA,15,1,1,0,0,0,504,6,60,5,1,295,100,1,56,9,
78,4262,426264,1997-06-24,6,day,12,3,flood,1999-12-30,1999-12-30,23.8888893127441,43,474,15,3,,2,0.58,NA,NA,3,3,NA,5,6,4,0,0,0,504,6,60,5,1,1910,1000,2,22,8,
79,2355,235511,1997-06-25,6,day,8,12,ebb,1999-12-30,1999-12-30,21.6666660308838,65,119,12,2,,1,0.33,NA,NA,4,2,NA,15,1,1,0,0,0,672,6,60,6,1,1541,800,1,88,13,
80,2355,235532,1997-06-25,6,day,12,8,ebb,1999-12-30,1999-12-30,21.6666660308838,65,119,12,2,,1,0.33,NA,NA,4,1,NA,10,3,2,0,0,0,672,6,60,6,1,378,200,1,16,6,
81,4092,409264,1997-06-26,6,day,5,8,flood,1999-12-30,1999-12-30,22.7777786254883,57,176,8,5,,4,0.15,NA,NA,4,0,NA,10,6,4,0,0,0,336,6,60,5,1,1565,1000,3,63,8,
82,3070,307011,1997-06-26,6,day,8,5,ebb,1999-12-30,1999-12-30,22.7777786254883,61,309,20,1,,1,1.5,NA,NA,2,10,NA,15,1,1,0,0,0,672,6,60,5,1,1011,1000,3,35,8,
83,4262,426264,1997-08-04,8,day,12,99,high,1999-12-30,1999-12-30,24.4444446563721,55,411,15,3,,2,0.18,NA,NA,3,3,NA,2,6,4,0,0,0,504,6,60,5,1,1619,1000,2,27,5,
84,1222,122231,1997-08-04,8,day,12,99,ebb,1999-12-30,1999-12-30,25,79,276,8.4,4,,1,1.18,NA,NA,3,1,NA,5,3,1,0,0,0,672,6,60,5,1,308,100,1,43,10,
85,1222,122261,1997-08-05,8,day,12,99,ebb,1999-12-30,1999-12-30,25,79,276,8.4,4,,1,1.18,NA,NA,4,1,NA,3,6,1,0,0,0,672,6,60,5,1,586,200,2,77,10,
86,1222,122251,1997-08-05,8,day,12,99,high,1999-12-30,1999-12-30,25,79,276,8.4,4,,1,0.03,NA,NA,3,0,NA,1,5,1,0,4,0,672,6,60,5,1,1021,700,2,59,11,
87,4092,409264,1997-08-06,8,day,12,4,high,1999-12-30,1999-12-30,25,98,162,6.6,5,,2,0.08,NA,NA,5,0,NA,5,6,4,0,0,0,672,6,60,5,1,1660,1000,2,51,6,
88,3029,302941,1997-08-07,8,day,12,99,high,1999-12-30,1999-12-30,25,78,216,12,1,,1,0.05,NA,NA,4,11,NA,5,4,1,0,0,0,336,6,60,5,1,1462,1000,1,106,11,
89,3070,307011,1997-08-07,8,day,99,12,ebb,1999-12-30,1999-12-30,25.5555553436279,66,467,11,1,,1,1.5,NA,NA,3,0,NA,3,1,1,0,0,0,504,6,60,5,1,1410,1000,3,47,12,
90,2237,223713,1997-08-11,8,day,99,4,high,1999-12-30,1999-12-30,20.5555553436279,67,145,NA,1,,1,0.02,NA,NA,3,0,NA,7,1,3,0,0,0,672,6,60,6,1,370,100,1,25,8,
91,2237,223711,1997-08-11,8,day,99,4,flood,1999-12-30,1999-12-30,20.5555553436279,67,145,NA,1,,1,0.3,NA,NA,4,3,NA,7,1,1,0,0,0,672,6,60,6,1,2069,900,1,161,14,
92,4222,422231,1997-08-12,8,day,99,4,low,1999-12-30,1999-12-30,24.4444446563721,43,553,NA,6,,1,0.05,NA,NA,3,2,NA,1,3,1,0,0,0,504,6,60,4,1,3185,1000,2,161,12,
93,5226,522631,1997-08-13,8,day,8,99,ebb,1999-12-30,1999-12-30,25,67,238,9.7,3,,1,0.01,NA,NA,4,12,NA,5,3,1,0,0,0,504,6,60,5,1,1106,1000,1,68,8,
94,5446,544662,1997-08-13,8,day,8,99,high,1999-12-30,1999-12-30,26.1111106872559,73,835,10,2,,1,0.04,NA,NA,8,6,NA,5,6,2,0,0,0,504,6,60,5,1,1028,1000,1,9,4,
95,1099,109931,1997-08-14,8,day,99,8,ebb,1999-12-30,1999-12-30,23.8888893127441,78,344,5.9,4,,1,0.01,NA,NA,4,6,NA,3,3,1,0,0,0,504,6,60,6,1,1655,1000,2,356,13,
96,1029,102952,1997-08-18,8,day,99,5,ebb,1999-12-30,1999-12-30,22.7777786254883,50,168,17.5,4,,4,0.01,NA,NA,7,10,NA,7,5,2,2,2,0,672,6,60,6,1,788,700,3,89,11,
97,1029,102962,1997-08-18,8,day,99,5,ebb,1999-12-30,1999-12-30,22.7777786254883,50,168,17.5,4,,4,0.01,NA,NA,3,6,NA,7,6,2,0,1,0,672,6,60,5,1,586,300,2,57,11,
98,2355,235531,1997-08-18,8,day,5,99,ebb,1999-12-30,1999-12-30,21.6666660308838,55,160,16.5,2,,1,0.18,NA,NA,3,5,NA,7,3,1,0,0,0,672,6,60,5,1,1500,1000,2,85,12,
99,5397,539711,1997-08-19,8,day,99,5,flood,1999-12-30,1999-12-30,23.8888893127441,39,636,32,2,yes,1,1.3,NA,NA,4,0,NA,2,1,1,0,0,0,336,6,60,3,1,1085,1000,3,74,9,
100,5086,508611,1997-08-20,8,day,12,99,ebb,1999-12-30,1999-12-30,23.3333339691162,61,302,12,3,,1,0.07,NA,NA,4,1,NA,1,1,1,0,0,0,504,6,60,5,1,1726,1000,1,123,12,
101,2037,203752,1997-08-21,8,day,12,5,high,1999-12-30,1999-12-30,21.1111106872559,91,150,9.9,1,,1,0.55,NA,NA,4,0,NA,0,5,2,4,0,0,672,6,60,6,1,566,300,1,16,6,
102,2037,203711,1997-08-21,8,day,NA,NA,ebb,1999-12-30,1999-12-30,21.1111106872559,91,150,9.9,1,,1,0,NA,NA,2,0,NA,1,1,1,0,0,0,672,6,60,6,1,798,700,2,43,8,
103,1091,109131,1997-08-25,8,day,12,99,ebb,1999-12-30,1999-12-30,23.8888893127441,57,174,6,2,,1,1.61,NA,NA,4,3,NA,1,3,1,0,1,0,672,6,60,5,1,763,400,3,60,12,
104,1091,109134,1997-08-25,8,day,12,99,flood,1999-12-30,1999-12-30,23.8888893127441,57,174,6,2,,3,1.61,NA,NA,2,10,NA,8,3,4,0,0,0,672,6,60,5,1,1077,600,3,88,15,
105,4110,411031,1997-08-26,8,day,12,99,ebb,1999-12-30,1999-12-30,22.7777786254883,122,196,5,3,,1,0.44,NA,NA,3,4,NA,3,3,1,0,0,0,672,6,60,5,1,807,500,2,105,4,
106,4110,411061,1997-08-26,8,day,99,12,flood,1999-12-30,1999-12-30,22.7777786254883,122,196,5,3,,1,0.44,NA,NA,2,7,NA,15,6,1,0,0,0,672,6,60,5,1,869,500,4,101,8,
107,1186,118631,1997-08-26,8,day,12,99,flood,1999-12-30,1999-12-30,21.6666660308838,99,169,7.5,3,,1,0.4,NA,NA,5,3,NA,15,3,1,0,0,0,672,6,60,5,1,934,700,3,99,9,
108,1186,118661,1997-08-26,8,day,12,99,flood,1999-12-30,1999-12-30,21.6666660308838,99,169,7.5,3,,1,0.4,NA,NA,5,5,NA,20,6,1,0,0,0,672,6,60,5,1,479,300,2,40,7,
109,4256,425631,1997-08-27,8,day,NA,NA,flood,1999-12-30,1999-12-30,22.7777786254883,97,219,7,2,,1,0.13,NA,NA,3,0,NA,10,3,1,0,0,0,672,6,60,5,1,367,100,2,36,5,
110,4256,425661,1997-08-27,8,day,12,99,flood,1999-12-30,1999-12-30,22.7777786254883,97,219,7,2,,1,0.13,NA,NA,2,2,NA,7,6,1,0,0,0,672,6,60,5,1,976,900,2,118,10,
111,3115,311531,1997-08-28,8,day,12,4,ebb,1999-12-30,1999-12-30,21.6666660308838,149,327,3.8,3,,1,0.22,NA,NA,4,4,NA,20,3,1,0,0,0,504,6,60,5,1,1422,1000,3,121,8,
112,4222,422211,1995-02-10,2,day,2,8,high,1999-12-30,1999-12-30,12.777777671814,54,556,9.2,6,no,1,NA,NA,NA,6,10,NA,NA,1,1,0,0,0,NA,6,60,NA,1,1180,896,1,313,8,
113,4222,422241,1995-02-10,2,day,2,8,high,1999-12-30,1999-12-30,12.777777671814,54,556,9.2,6,no,1,NA,NA,NA,6,1,NA,NA,4,1,0,0,0,NA,6,60,NA,1,90,70,1,27,4,
114,1091,109141,1995-02-14,2,day,5,3,flood,1999-12-30,1999-12-30,11.1111106872559,73,123,12,2,no,1,NA,NA,NA,6,1,NA,NA,4,1,0,0,0,NA,4,60,NA,1,298,100,4,16,4,
115,1091,109111,1995-02-14,2,day,5,8,flood,1999-12-30,1999-12-30,11.1111106872559,73,123,12,2,no,1,NA,NA,NA,6,10,NA,NA,1,1,0,0,0,NA,4,60,NA,1,528,1158,4,30,6,
116,1099,109911,1995-02-14,2,day,3,8,low,1999-12-30,1999-12-30,11.6666669845581,90,777,7.3,4,no,1,NA,NA,NA,6,3,NA,NA,1,1,0,0,0,NA,6,60,NA,1,1004,759,1,169,7,
117,1099,109921,1995-02-14,2,day,3,8,flood,1999-12-30,1999-12-30,11.6666669845581,90,777,7.3,4,no,1,NA,NA,NA,8,2,NA,NA,2,1,0,0,0,NA,6,60,NA,1,1006,200,1,142,7,
118,1029,102932,1995-02-15,2,day,5,8,low,1999-12-30,1999-12-30,11.1111106872559,72,171,8.5,4,no,4,NA,NA,NA,5,10,NA,NA,3,2,0,0,0,NA,7,60,NA,1,1037,800,2,93,6,
119,1029,102952,1995-02-15,2,day,5,8,low,1999-12-30,1999-12-30,11.1111106872559,72,171,8.5,4,no,2,NA,NA,NA,7,20,NA,NA,5,2,2,2,0,NA,7,60,NA,1,324,200,1,8,4,
120,2355,235511,1995-02-15,2,day,3,8,ebb,1999-12-30,1999-12-30,10.5555553436279,57,139,3.7,2,no,1,NA,NA,NA,3,3,NA,NA,1,1,0,0,0,NA,5,60,NA,1,1485,872,2,47,8,
121,4262,426244,1995-02-16,2,day,5,8,ebb,1999-12-30,1999-12-30,11.1111106872559,65,483,12,3,no,2,NA,NA,NA,6,0,NA,NA,4,4,0,0,0,NA,6,60,NA,1,1462,1000,1,66,5,
122,4256,425641,1995-02-16,2,day,8,5,low,1999-12-30,1999-12-30,11.6666669845581,79,342,8,2,yes,1,NA,NA,NA,4,NA,NA,NA,4,1,0,0,0,NA,6,60,NA,1,997,900,1,94,5,
