ResFishID,Station.Number,Date,Species,Length,Dead,Stomach.Taken
105,422211,1997-01-27,RSF,182,0,0
106,422211,1997-01-27,RSF,186,0,0
107,422211,1997-01-27,RSF,99,0,0
108,422211,1997-01-27,RSF,107,0,0
109,422211,1997-01-27,RSF,92,0,0
110,422211,1997-01-27,RSF,116,0,0
111,422211,1997-01-27,RSF,84,0,0
112,422211,1997-01-27,RSF,87,0,0
113,422211,1997-01-27,RSF,152,0,0
114,422211,1997-01-27,RSF,79,0,0
115,422211,1997-01-27,RSF,164,0,0
116,422211,1997-01-27,RSF,69,0,0
117,422211,1997-01-27,RSF,149,0,0
118,422211,1997-01-27,RSF,87,0,0
119,422211,1997-01-27,RSF,104,0,0
120,422211,1997-01-27,WC,332,0,0
121,422211,1997-01-27,WC,292,0,0
122,422211,1997-01-27,WC,257,0,0
123,422211,1997-01-27,WC,237,0,0
124,422211,1997-01-27,WC,227,0,0
125,422211,1997-01-27,WC,265,0,0
126,422211,1997-01-27,WM,99,0,0
127,422211,1997-01-27,WM,101,0,0
128,422211,1997-01-27,WM,86,0,0
129,422211,1997-01-27,WM,46,0,0
130,422211,1997-01-27,WM,96,0,0
131,422211,1997-01-27,WM,62,0,0
132,422211,1997-01-27,WM,62,0,0
133,422211,1997-01-27,WM,100,0,0
134,422211,1997-01-27,WM,92,0,0
135,422211,1997-01-27,WM,95,0,0
136,422211,1997-01-27,WM,104,0,0
137,422211,1997-01-27,WM,113,0,0
138,422211,1997-01-27,WM,91,0,0
139,422211,1997-01-27,WM,93,0,0
140,422211,1997-01-27,WM,59,0,0
141,422211,1997-01-27,WM,66,0,0
142,422211,1997-01-27,WM,59,0,0
143,422211,1997-01-27,WM,59,0,0
144,422211,1997-01-27,WM,95,0,0
145,422211,1997-01-27,WM,64,0,0
146,422211,1997-01-27,WM,70,0,0
147,422211,1997-01-27,WM,96,0,0
148,422211,1997-01-27,WM,60,0,0
149,422211,1997-01-27,WM,56,0,0
150,422211,1997-01-27,WM,88,0,0
151,422211,1997-01-27,WM,87,0,0
152,422211,1997-01-27,WM,125,0,0
153,422211,1997-01-27,WM,85,0,0
154,422211,1997-01-27,WM,142,0,0
155,422211,1997-01-27,WM,110,0,0
156,422211,1997-01-27,WM,89,0,0
157,422211,1997-01-27,WM,122,0,0
158,422211,1997-01-27,WM,62,0,0
159,422211,1997-01-27,WM,66,0,0
160,422211,1997-01-27,WM,82,0,0
161,422211,1997-01-27,WM,116,0,0
162,422211,1997-01-27,WM,57,0,0
163,422211,1997-01-27,WM,97,0,0
164,422211,1997-01-27,WM,91,0,0
165,422211,1997-01-27,WM,102,0,0
166,422211,1997-01-27,WM,90,0,0
167,422211,1997-01-27,WM,86,0,0
168,422211,1997-01-27,WM,89,0,0
169,422211,1997-01-27,WM,111,0,0
170,422211,1997-01-27,WM,55,0,0
171,422211,1997-01-27,WM,84,0,0
172,422211,1997-01-27,WM,55,0,0
173,422211,1997-01-27,WM,106,0,0
174,422211,1997-01-27,WM,99,0,0
175,422211,1997-01-27,WM,100,0,0
176,422211,1997-01-27,TFS,72,0,0
177,422211,1997-01-27,TFS,84,0,0
178,422211,1997-01-27,TFS,76,0,0
179,422211,1997-01-27,TFS,81,0,0
180,422211,1997-01-27,TFS,82,0,0
181,422211,1997-01-27,TFS,61,0,0
182,422211,1997-01-27,TFS,67,0,0
183,422211,1997-01-27,TFS,92,0,0
184,422211,1997-01-27,TFS,91,0,0
185,422211,1997-01-27,TFS,70,0,0
186,422211,1997-01-27,TFS,94,0,0
187,422211,1997-01-27,BCR,188,0,0
188,422211,1997-01-27,BCR,172,0,0
189,422211,1997-01-27,MSS,46,0,0
190,422211,1997-01-27,CP,408,0,0
191,422211,1997-01-27,CP,493,0,0
192,422211,1997-01-27,GMB,29,0,0
193,422211,1997-01-27,SSG,71,0,0
194,422211,1997-01-27,GSF,155,0,0
195,422211,1997-01-27,GSF,145,0,0
196,422211,1997-01-27,GSF,71,0,0
197,422211,1997-01-27,GSF,65,0,0
198,422211,1997-01-27,GSF,75,0,0
199,422211,1997-01-27,GSF,67,0,0
200,422211,1997-01-27,GSF,72,0,0
201,422211,1997-01-27,GSF,75,0,0
202,422211,1997-01-27,GSF,101,0,0
203,422211,1997-01-27,GSF,86,0,0
204,422221,1997-01-27,BG,81,0,0
205,422221,1997-01-27,BG,126,0,0
206,422221,1997-01-27,BG,105,0,0
207,422221,1997-01-27,BG,75,0,0
208,422221,1997-01-27,BG,56,0,0
209,422221,1997-01-27,BG,87,0,0
210,422221,1997-01-27,BG,97,0,0
211,422221,1997-01-27,BG,95,0,0
212,422221,1997-01-27,BG,77,0,0
213,422221,1997-01-27,BG,68,0,0
214,422221,1997-01-27,BG,54,0,0
215,422221,1997-01-27,BG,75,0,0
216,422221,1997-01-27,BG,83,0,0
217,422221,1997-01-27,BG,75,0,0
218,422221,1997-01-27,BG,132,0,0
219,422221,1997-01-27,BG,77,0,0
220,422221,1997-01-27,BG,69,0,0
221,422221,1997-01-27,BG,72,0,0
222,422221,1997-01-27,BG,115,0,0
223,422221,1997-01-27,BG,76,0,0
224,422221,1997-01-27,BG,102,0,0
225,422221,1997-01-27,BG,68,0,0
226,422221,1997-01-27,BG,46,0,0
227,422221,1997-01-27,BG,77,0,0
228,422221,1997-01-27,BG,58,0,0
229,422221,1997-01-27,BG,173,0,0
230,422221,1997-01-27,LMB,332,0,0
231,422221,1997-01-27,LMB,375,0,0
232,422221,1997-01-27,LMB,283,0,0
233,422221,1997-01-27,LMB,195,0,0
234,422221,1997-01-27,LMB,260,0,0
235,422221,1997-01-27,LMB,245,0,0
236,422221,1997-01-27,LMB,276,0,0
237,422221,1997-01-27,LMB,85,0,0
238,422221,1997-01-27,LMB,291,0,0
239,422221,1997-01-27,LMB,277,0,0
240,422221,1997-01-27,LMB,238,0,0
241,422221,1997-01-27,LMB,311,0,0
242,422221,1997-01-27,LMB,330,0,0
243,422221,1997-01-27,LMB,187,0,0
244,422221,1997-01-27,LMB,102,0,0
245,422221,1997-01-27,LMB,160,0,0
246,422221,1997-01-27,LMB,262,0,0
247,422221,1997-01-27,RSF,154,0,0
248,422221,1997-01-27,RSF,198,0,0
249,422221,1997-01-27,RSF,220,0,0
250,422221,1997-01-27,RSF,177,0,0
251,422221,1997-01-27,RSF,104,0,0
252,422221,1997-01-27,RSF,210,0,0
253,422221,1997-01-27,RSF,178,0,0
254,422221,1997-01-27,RSF,121,0,0
255,422221,1997-01-27,RSF,204,0,0
256,422221,1997-01-27,RSF,121,0,0
257,422221,1997-01-27,RSF,167,0,0
258,422221,1997-01-27,RSF,193,0,0
259,422221,1997-01-27,RSF,206,0,0
260,422221,1997-01-27,RSF,200,0,0
261,422221,1997-01-27,RSF,168,0,0
262,422221,1997-01-27,RSF,147,0,0
263,422221,1997-01-27,RSF,97,0,0
264,422221,1997-01-27,RSF,185,0,0
265,422221,1997-01-27,RSF,90,0,0
266,422221,1997-01-27,RSF,60,0,0
267,422221,1997-01-27,RSF,165,0,0
268,422221,1997-01-27,RSF,110,0,0
269,422221,1997-01-27,RSF,75,0,0
270,422221,1997-01-27,WC,307,0,0
271,422221,1997-01-27,WC,225,0,0
272,422221,1997-01-27,WC,267,0,0
273,422221,1997-01-27,WC,320,0,0
274,422221,1997-01-27,WC,219,0,0
275,422221,1997-01-27,WC,235,0,0
276,422221,1997-01-27,WC,252,0,0
277,422221,1997-01-27,WC,283,0,0
278,422221,1997-01-27,WC,256,0,0
279,422221,1997-01-27,WC,283,0,0
280,422221,1997-01-27,WC,248,0,0
281,422221,1997-01-27,WC,235,0,0
282,422221,1997-01-27,WC,214,0,0
283,422221,1997-01-27,WC,276,0,0
284,422221,1997-01-27,WC,220,0,0
285,422221,1997-01-27,GF,362,0,0
286,422221,1997-01-27,GF,310,0,0
287,422221,1997-01-27,WM,103,0,0
288,422221,1997-01-27,WM,88,0,0
289,422221,1997-01-27,WM,63,0,0
290,422221,1997-01-27,WM,185,0,0
291,422221,1997-01-27,WM,107,0,0
292,422221,1997-01-27,WM,86,0,0
293,422221,1997-01-27,WM,85,0,0
294,422221,1997-01-27,WM,92,0,0
295,422221,1997-01-27,WM,94,0,0
296,422221,1997-01-27,WM,91,0,0
297,422221,1997-01-27,WM,88,0,0
298,422221,1997-01-27,WM,97,0,0
299,422221,1997-01-27,WM,91,0,0
300,422221,1997-01-27,WM,87,0,0
301,422221,1997-01-27,WM,61,0,0
302,422221,1997-01-27,WM,106,0,0
303,422221,1997-01-27,WM,92,0,0
304,422221,1997-01-27,WM,88,0,0
305,422221,1997-01-27,WM,82,0,0
306,422221,1997-01-27,WM,172,0,0
307,422221,1997-01-27,WM,95,0,0
308,422221,1997-01-27,WM,95,0,0
309,422221,1997-01-27,WM,85,0,0
310,422221,1997-01-27,WM,48,0,0
311,422221,1997-01-27,WM,81,0,0
312,422221,1997-01-27,WM,60,0,0
313,422221,1997-01-27,WM,125,0,0
314,422221,1997-01-27,WM,91,0,0
315,422221,1997-01-27,WM,58,0,0
316,422221,1997-01-27,WM,62,0,0
317,422221,1997-01-27,GSH,195,0,0
318,422221,1997-01-27,TFS,87,0,0
319,422221,1997-01-27,TFS,127,0,0
321,422221,1997-01-27,BB,249,0,0
322,426244,1997-01-28,BG,134,0,0
323,426244,1997-01-28,BG,110,0,0
324,426244,1997-01-28,BG,80,0,0
325,426244,1997-01-28,BG,92,0,0
326,426244,1997-01-28,BG,53,0,0
327,426244,1997-01-28,BG,74,0,0
328,426244,1997-01-28,BG,108,0,0
329,426244,1997-01-28,BG,136,0,0
330,426244,1997-01-28,BG,147,0,0
331,426244,1997-01-28,BG,111,0,0
332,426244,1997-01-28,BG,89,0,0
333,426244,1997-01-28,BG,83,0,0
334,426244,1997-01-28,BG,59,0,0
335,426244,1997-01-28,BG,90,0,0
336,426244,1997-01-28,BG,126,0,0
337,426244,1997-01-28,BG,54,0,0
338,426244,1997-01-28,BG,81,0,0
339,426244,1997-01-28,BG,86,0,0
340,426244,1997-01-28,BG,80,0,0
341,426244,1997-01-28,BG,86,0,0
342,426244,1997-01-28,BG,89,0,0
343,426244,1997-01-28,BG,55,0,0
344,426244,1997-01-28,BG,141,0,0
345,426244,1997-01-28,BG,111,0,0
346,426244,1997-01-28,BG,122,0,0
347,426244,1997-01-28,LMB,72,0,0
348,426244,1997-01-28,LMB,362,0,0
349,426244,1997-01-28,LMB,342,0,0
350,426244,1997-01-28,LMB,329,0,0
351,426244,1997-01-28,LMB,332,0,0
352,426244,1997-01-28,LMB,276,0,0
353,426244,1997-01-28,LMB,295,0,0
354,426244,1997-01-28,LMB,79,0,0
355,426244,1997-01-28,LMB,175,0,0
356,426244,1997-01-28,RSF,201,0,0
357,426244,1997-01-28,RSF,216,0,0
358,426244,1997-01-28,RSF,59,0,0
359,426244,1997-01-28,RSF,130,0,0
360,426244,1997-01-28,RSF,110,0,0
361,426244,1997-01-28,RSF,112,0,0
362,426244,1997-01-28,RSF,125,0,0
363,426244,1997-01-28,RSF,116,0,0
364,426244,1997-01-28,RSF,133,0,0
365,426244,1997-01-28,RSF,95,0,0
366,426244,1997-01-28,RSF,116,0,0
367,426244,1997-01-28,RSF,112,0,0
368,426244,1997-01-28,RSF,224,0,0
369,426244,1997-01-28,RSF,112,0,0
370,426244,1997-01-28,RSF,104,0,0
372,426244,1997-01-28,GSH,138,0,0
373,426244,1997-01-28,GSH,139,0,0
374,426244,1997-01-28,CP,622,0,0
375,426244,1997-01-28,CP,496,0,0
376,426244,1997-01-28,CP,407,0,0
377,426244,1997-01-28,BCR,127,0,0
378,122211,1997-01-29,BG,113,0,0
379,122211,1997-01-29,BG,53,0,0
380,122211,1997-01-29,BG,156,0,0
381,122211,1997-01-29,BG,104,0,0
382,122211,1997-01-29,BG,130,0,0
383,122211,1997-01-29,BG,72,0,0
384,122211,1997-01-29,BG,124,0,0
385,122211,1997-01-29,BG,112,0,0
386,122211,1997-01-29,BG,96,0,0
387,122211,1997-01-29,BG,76,0,0
388,122211,1997-01-29,BG,99,0,0
389,122211,1997-01-29,BG,101,0,0
390,122211,1997-01-29,BG,75,0,0
391,122211,1997-01-29,BG,92,0,0
392,122211,1997-01-29,BG,81,0,0
393,122211,1997-01-29,BG,96,0,0
394,122211,1997-01-29,BG,113,0,0
395,122211,1997-01-29,BG,83,0,0
396,122211,1997-01-29,BG,105,0,0
397,122211,1997-01-29,BG,84,0,0
398,122211,1997-01-29,BG,53,0,0
399,122211,1997-01-29,BG,95,0,0
400,122211,1997-01-29,BG,41,0,0
401,122211,1997-01-29,BG,130,0,0
402,122211,1997-01-29,BG,89,0,0
403,122211,1997-01-29,BG,122,0,0
404,122211,1997-01-29,BG,106,0,0
405,122211,1997-01-29,BG,95,0,0
406,122211,1997-01-29,BG,86,0,0
407,122211,1997-01-29,BG,85,0,0
408,122211,1997-01-29,BG,85,0,0
409,122211,1997-01-29,BG,129,0,0
410,122211,1997-01-29,BG,78,0,0
411,122211,1997-01-29,BG,162,0,0
412,122211,1997-01-29,BG,120,0,0
413,122211,1997-01-29,BG,41,0,0
414,122211,1997-01-29,BG,84,0,0
415,122211,1997-01-29,BG,129,0,0
416,122211,1997-01-29,BG,84,0,0
417,122211,1997-01-29,BG,79,0,0
418,122211,1997-01-29,BG,54,0,0
419,122211,1997-01-29,BG,80,0,0
420,122211,1997-01-29,BG,103,0,0
421,122211,1997-01-29,BG,52,0,0
422,122211,1997-01-29,BG,65,0,0
423,122211,1997-01-29,BG,46,0,0
424,122211,1997-01-29,BG,92,0,0
425,122211,1997-01-29,BG,118,0,0
426,122211,1997-01-29,BG,95,0,0
427,122211,1997-01-29,BG,97,0,0
428,122211,1997-01-29,LMB,449,0,0
429,122211,1997-01-29,LMB,305,0,0
430,122211,1997-01-29,LMB,74,0,0
431,122211,1997-01-29,LMB,66,0,0
432,122211,1997-01-29,LMB,344,0,0
433,122211,1997-01-29,LMB,226,0,0
434,122211,1997-01-29,RSF,143,0,0
435,122211,1997-01-29,RSF,145,0,0
436,122211,1997-01-29,RSF,120,0,0
437,122211,1997-01-29,RSF,152,0,0
438,122211,1997-01-29,RSF,127,0,0
439,122211,1997-01-29,RSF,200,0,0
440,122211,1997-01-29,RSF,181,0,0
441,122211,1997-01-29,RSF,157,0,0
442,122211,1997-01-29,RSF,132,0,0
443,122211,1997-01-29,RSF,146,0,0
444,122211,1997-01-29,RSF,210,0,0
445,122211,1997-01-29,RSF,115,0,0
446,122211,1997-01-29,RSF,68,0,0
447,122211,1997-01-29,RSF,55,0,0
448,122211,1997-01-29,RSF,55,0,0
449,122211,1997-01-29,WC,210,0,0
450,122211,1997-01-29,TFS,71,0,0
451,122211,1997-01-29,TFS,98,0,0
452,122211,1997-01-29,TFS,69,0,0
453,122211,1997-01-29,TFS,72,0,0
454,122211,1997-01-29,TFS,80,0,0
455,122211,1997-01-29,TFS,67,0,0
456,122211,1997-01-29,BB,325,0,0
457,122211,1997-01-29,WM,120,0,0
458,122211,1997-01-29,WM,89,0,0
459,122211,1997-01-29,WM,83,0,0
460,122211,1997-01-29,WM,89,0,0
461,122211,1997-01-29,WM,93,0,0
462,122211,1997-01-29,WM,81,0,0
463,122211,1997-01-29,WM,85,0,0
464,122211,1997-01-29,WM,58,0,0
465,122211,1997-01-29,WM,102,0,0
466,122211,1997-01-29,WM,93,0,0
467,122211,1997-01-29,WM,91,0,0
468,122211,1997-01-29,CP,505,0,0
469,122211,1997-01-29,CP,528,0,0
470,122211,1997-01-29,CP,307,0,0
471,122211,1997-01-29,CP,345,0,0
472,122211,1997-01-29,CP,374,0,0
473,122211,1997-01-29,GF,294,0,0
474,122211,1997-01-29,MSS,62,0,0
475,122211,1997-01-29,PSC,85,0,0
476,122261,1997-01-29,BG,156,0,0
477,122261,1997-01-29,BG,132,0,0
478,122261,1997-01-29,BG,119,0,0
479,122261,1997-01-29,BG,84,0,0
480,122261,1997-01-29,BG,100,0,0
481,122261,1997-01-29,BG,146,0,0
482,122261,1997-01-29,BG,150,0,0
483,122261,1997-01-29,BG,86,0,0
484,122261,1997-01-29,BG,97,0,0
485,122261,1997-01-29,BG,93,0,0
486,122261,1997-01-29,BG,104,0,0
487,122261,1997-01-29,BG,76,0,0
488,122261,1997-01-29,BG,46,0,0
489,122261,1997-01-29,BG,47,0,0
490,122261,1997-01-29,BG,48,0,0
491,122261,1997-01-29,BG,111,0,0
492,122261,1997-01-29,BG,93,0,0
493,122261,1997-01-29,BG,45,0,0
494,122261,1997-01-29,BG,92,0,0
495,122261,1997-01-29,BG,112,0,0
496,122261,1997-01-29,BG,92,0,0
497,122261,1997-01-29,BG,79,0,0
498,122261,1997-01-29,BG,49,0,0
499,122261,1997-01-29,BG,48,0,0
500,122261,1997-01-29,BG,123,0,0
501,122261,1997-01-29,BG,112,0,0
502,122261,1997-01-29,BG,52,0,0
503,122261,1997-01-29,BG,118,0,0
504,122261,1997-01-29,BG,42,0,0
505,122261,1997-01-29,BG,86,0,0
506,122261,1997-01-29,BG,154,0,0
507,122261,1997-01-29,BG,88,0,0
508,122261,1997-01-29,BG,74,0,0
509,122261,1997-01-29,BG,47,0,0
510,122261,1997-01-29,BG,44,0,0
511,122261,1997-01-29,LMB,147,0,0
512,122261,1997-01-29,LMB,69,0,0
513,122261,1997-01-29,LMB,211,0,0
514,122261,1997-01-29,RSF,128,0,0
515,122261,1997-01-29,RSF,148,0,0
516,122261,1997-01-29,RSF,140,0,0
517,122261,1997-01-29,RSF,134,0,0
518,122261,1997-01-29,RSF,152,0,0
519,122261,1997-01-29,RSF,123,0,0
520,122261,1997-01-29,RSF,191,0,0
521,122261,1997-01-29,RSF,152,0,0
522,122261,1997-01-29,RSF,145,0,0
523,122261,1997-01-29,RSF,114,0,0
524,122261,1997-01-29,RSF,129,0,0
525,122261,1997-01-29,RSF,73,0,0
526,122261,1997-01-29,RSF,147,0,0
527,122261,1997-01-29,RSF,179,0,0
528,122261,1997-01-29,RSF,56,0,0
529,122261,1997-01-29,WC,232,0,0
530,122261,1997-01-29,WC,361,0,0
531,122261,1997-01-29,WC,221,0,0
532,122261,1997-01-29,GSH,165,0,0
533,122261,1997-01-29,GSH,158,0,0
534,122261,1997-01-29,GSH,196,0,0
535,122261,1997-01-29,GSH,72,0,0
536,122261,1997-01-29,GSH,147,0,0
537,122261,1997-01-29,BCR,250,0,0
538,122261,1997-01-29,BCR,241,0,0
539,122261,1997-01-29,BCR,264,0,0
540,122261,1997-01-29,TFS,76,0,0
541,122261,1997-01-29,TFS,102,0,0
542,122261,1997-01-29,BB,202,0,0
543,122261,1997-01-29,BB,254,0,0
544,122261,1997-01-29,CP,480,0,0
545,122261,1997-01-29,CP,450,0,0
546,122261,1997-01-29,CP,419,0,0
547,122261,1997-01-29,CP,436,0,0
548,122261,1997-01-29,CP,403,0,0
549,122261,1997-01-29,CP,379,0,0
550,122261,1997-01-29,GMB,21,0,0
551,122261,1997-01-29,WM,52,0,0
552,122261,1997-01-29,WM,91,0,0
553,122261,1997-01-29,WM,84,0,0
554,122261,1997-01-29,WCR,76,0,0
555,122261,1997-01-29,GF,292,0,0
556,302942,1997-01-30,TP,142,0,0
557,302942,1997-01-30,TP,162,0,0
558,302942,1997-01-30,TP,151,0,0
559,302942,1997-01-30,TP,147,0,0
560,302942,1997-01-30,TP,92,0,0
561,302942,1997-01-30,TP,164,0,0
562,302942,1997-01-30,TP,115,0,0
563,302942,1997-01-30,TP,135,0,0
564,302942,1997-01-30,TP,105,0,0
565,302942,1997-01-30,TP,106,0,0
566,302942,1997-01-30,TP,105,0,0
567,302942,1997-01-30,TP,104,0,0
568,302942,1997-01-30,TP,103,0,0
569,302942,1997-01-30,TP,107,0,0
570,302942,1997-01-30,SQ,522,0,0
571,302942,1997-01-30,SQ,445,0,0
572,302942,1997-01-30,SQ,198,0,0
573,302942,1997-01-30,SQ,98,0,0
574,302942,1997-01-30,SQ,406,0,0
575,302942,1997-01-30,MSS,66,0,0
576,302942,1997-01-30,MSS,82,0,0
577,302942,1997-01-30,MSS,66,0,0
578,302942,1997-01-30,MSS,65,0,0
579,302942,1997-01-30,MSS,73,0,0
580,302942,1997-01-30,MSS,57,0,0
581,302942,1997-01-30,MSS,79,0,0
582,302942,1997-01-30,MSS,47,0,0
583,302942,1997-01-30,MSS,63,0,0
584,302942,1997-01-30,MSS,78,0,0
585,302942,1997-01-30,MSS,69,0,0
586,302942,1997-01-30,MSS,77,0,0
587,302942,1997-01-30,MSS,65,0,0
588,302942,1997-01-30,TFS,108,0,0
589,302942,1997-01-30,TFS,90,0,0
590,302942,1997-01-30,TFS,101,0,0
591,302942,1997-01-30,TFS,55,0,0
592,302942,1997-01-30,ST,217,0,0
593,302942,1997-01-30,ST,208,0,0
594,302942,1997-01-30,ST,218,0,0
595,302942,1997-01-30,ST,210,0,0
596,302942,1997-01-30,ST,217,0,0
597,302942,1997-01-30,ST,184,0,0
598,302942,1997-01-30,STH,402,0,0
599,302942,1997-01-30,DS,53,0,0
600,302942,1997-01-30,KS,102,0,0
601,302942,1997-01-30,KS,40,0,0
602,302942,1997-01-30,KS,52,0,0
603,302942,1997-01-30,KS,43,0,0
604,302942,1997-01-30,KS,41,0,0
605,302942,1997-01-30,KS,43,0,0
606,302942,1997-01-30,KS,41,0,0
607,302942,1997-01-30,KS,226,0,0
608,302942,1997-01-30,KS,131,0,0
609,302942,1997-01-30,KS,43,0,0
610,302942,1997-01-30,CP,588,0,0
611,302942,1997-01-30,GF,344,0,0
612,302942,1997-01-30,GSH,195,0,0
613,302942,1997-01-30,LMP,115,0,0
614,302942,1997-01-30,LMP,125,0,0
615,302942,1997-01-30,LMP,93,0,0
616,302942,1997-01-30,LMP,98,0,0
617,302942,1997-01-30,LMP,137,0,0
618,302942,1997-01-30,LMP,54,0,0
619,302942,1997-01-30,LMP,68,0,0
620,302942,1997-01-30,SB,116,0,0
621,302942,1997-01-30,SB,130,0,0
622,302942,1997-01-30,SB,119,0,0
623,302942,1997-01-30,SB,150,0,0
624,302942,1997-01-30,SB,145,0,0
625,302942,1997-01-30,SB,90,0,0
626,302942,1997-01-30,SB,160,0,0
627,302942,1997-01-30,SB,97,0,0
628,302942,1997-01-30,SB,125,0,0
629,302942,1997-01-30,SB,102,0,0
630,302942,1997-01-30,SB,116,0,0
631,302942,1997-01-30,SB,77,0,0
640,223713,1997-02-03,LMP,45,0,0
641,223713,1997-02-03,LMP,70,0,0
642,223713,1997-02-03,LMP,63,0,0
643,223713,1997-02-03,LMP,95,0,0
644,223713,1997-02-03,LMP,95,0,0
645,223713,1997-02-03,LMP,73,0,0
646,223713,1997-02-03,LMP,80,0,0
647,223713,1997-02-03,LMP,80,0,0
648,223713,1997-02-03,LMP,61,0,0
649,223713,1997-02-03,LMP,80,0,0
650,223713,1997-02-03,LMP,95,0,0
651,223713,1997-02-03,LMP,95,0,0
652,223713,1997-02-03,LMP,97,0,0
653,223713,1997-02-03,LMP,86,0,0
654,223713,1997-02-03,LMP,87,0,0
655,223713,1997-02-03,LMP,115,0,0
656,223713,1997-02-03,LMP,83,0,0
657,223713,1997-02-03,LMP,70,0,0
658,223713,1997-02-03,LMP,102,0,0
659,223713,1997-02-03,LMP,87,0,0
660,223713,1997-02-03,LMP,97,0,0
661,223713,1997-02-03,LMP,100,0,0
